Glossary Terms (Automatically Extracted from 2966 Requirements CrowdRE Dataset) ,Ground Truth (Manually Extracted from 100 Requirements)
 access, ac
 activity, accidental shock
 adult, activity
 advance, air
 air conditioner, air conditioning
 air conditioning, air purity controller
 air quality, air quality
 alarm clock, alarm
 alert, alert
 amazon, animal
 amount, app
 apartment, appliance
 app, audio listening
 appliance, auto sprinkler
 assistance, automated food bowl
 audio system, automated music system
 automatic door, automated sharp furniture sensor
 automobile, automatic fragrance sprinkler
 baby, automatic garage door opener
 bag, baby
 bandwidth, background music
 base, bad odour
 bath, barking sound
 bed, battery
 bill, battery limit
 blood pressure, bed
 blood pressure monitor, bedroom
 body temperature, biorhythm app
 budget, blind
 business, body
 butt, box
 cabinet, breakfast food
 car, car
 carbon, carbon monoxide
 carbon monoxide, carbon monoxide detector
 carbon monoxide detector, carbon monoxide poisoning
 care, ceiling fan
 carpet, central ac system
 ceiling, certain lights
 cell, child
 cell phone, child movement
 chance, class
 change, class reminder
 child, coffee
 cleaning, comfort
 closet, condition
 closing, control
 clothing, cooler
 coffee, cooling
 coffee pot, dangerous gas
 cold air, day
 comfort, day at work
 comfortable temperature, delivery food
 command, dentist
 concentration, desired temperature
 conserve water, device
 cook, dinner
 cooking, distance
 cooler, disturbance
 cooling, doctor
 cpu, dog
 damage, door
 danger, door lock
 dark, doorbell
 database, doorstep
 day, driveway
 demand, ductless heat pump
 desired temperature, dusk
 detergent, electricity
 direction, electricity bill
 dirt, emergency
 dishwasher, energy
 dog, energy bill
 door, energy consumption
 doorbell, energy cost
 dryer, energy use
 dust, environment
 effort, family
 electric blanket, family member
 electricity, favorite show
 email, fire
 emergency, floor
 energy, food
 energy consumption, food preparation
 energy efficient, fruit
 energy usage, garage
 enter, garage door
 entertainment, gas
 entertainment system, guest
 entry, hallway motion detector
 example, health
 excess, health concern
 excess moisture, health goal
 exercise, heat source
 experience, heater
 face, heating
 face detection, hobby
 facial recognition, home
 failure, home sports experience
 fingerprint scanner, house
 fingerprint sensor, ideal temperature
 fire, information
 fitbit, integrated smart electronics
 fitness, intruder
 floor, ir bracelet
 food, key
 fresh air, kid
 fridge, kitchen item
 front, label
 front door, light
 fun, lighting
 furnace, lighting effect
 game, limit
 garage, location
 garage door, lunch time
 garden, main gate
 gas, measure
 geyser, minimum required amount of time
 gps location, mobile phone
 grass, money
 ground, mood
 hair, morning
 hand, movie
 head, movie suggestion
 health, music
 heart rate, news
 heater, nfc
 heating, night
 help, night sleep
 high resolution, notification
 hologram, object
 hot water, optimal condition
 hour, optimal temperature
 house, order
 household, order delivery food
 humidity, outdoor motion detector
 hurt, outdoor motion sensor
 ice, outdoor safety light
 ice cream, oven
 ideal temperature, package delivery
 indoor, packaging information
 insulation, party
 interest, party guest
 internet service, people
 inventory, person
 ipad, personal preference
 iphone, pet
 kitchen, pet water container
 laptop, photo
 laser, picture
 laundry, place
 lawn, plant
 life, plant soil
 light, police
 lighting, pollution
 location, potential health concern
 lock, potential intruder
 mail, product
 maintenance, property
 medication, push notification
 message, radio system
 microphone, recommendation
 milk, registered occupant
 mind, regular furnace
 minute, remote control
 mistake, remote control opener
 mobile device, remote location
 moisture, respiratory issue
 money, robot
 monitoring system, room
 morning, room lighting
 motion, safety
 motion sensor, schedule
 mouth, scheduled timing
 movement, school
 movie, security
 music, sensor
 music player, shade
 music system, show
 netflix, shower
 news, simple voice command
 night, sink
 noise, sleep
 notice, smart appliance
 notification, smart breakfast appliance
 office, smart coffee machine
 order, smart device
 outdoor motion, smart feature
 permission, smart home
 person, smart lock
 personal computer, smart shower
 pet, smart thermostat
 picture, smart touchscreen tv
 pizza, smart window cleaner
 place, smartphone
 pm, smartwatch application
 pollution, snow
 pool, socket
 power, socket adapter
 power consumption, soil
 power usage, some music
 practice, sound
 preferred temperature, space heater
 presence, status update
 pressure, stove
 prevent, stovetop
 purpose, system
 quality, table
 radiator, tablet
 real time, team goal home
 recognition, television
 recommend, television show
 record, temperature
 refrigerator, temperature sensor
 remind, text
 remote, text message
 remote access, thermostat
 remote control, time
 repair, time of day
 respond, time of the year
 rfid chip, toaster
 robotic vacuum, tooth
 room, trespasser
 room temperature, trusted other
 room thermostat, tv
 safety, update
 safety system, vacuum
 sale, vacuum cleaner
 scale, vegetable
 schedule, vehicle
 school, vehicle related theft
 screen, video camera
 security camera, video feed
 security system, viewing habit
 shape, voice command
 shower, volume
 siri, wall
 sleep, water container
 sleeping, watering
 smart alarm clock, weather
 smart card, weather adjustment
 smart device, weather alert
 smart fridge, weather issue
 smart key, weather outside
 smart light, wind
 smart sensor, window
 smart tag, window fan
 smart tv, window sensor
 smart water, wireless charger
 smoke, work
 soap,
 solar panel,
 solar roof,
 solar system,
 song,
 sound,
 speed,
 steam,
 step,
 stereo,
 stock,
 stove,
 stress,
 stuff,
 summer,
 sunlight,
 surround sound,
 tab,
 tank,
 temperature,
 text,
 text message,
 theft,
 thermometer,
 thermostat,
 track,
 traffic,
 trip,
 tub,
 turn,
 usage,
 utility,
 vacation,
 vacuum,
 vehicle,
 visitor,
 voice,
 voice control,
 voice recognition,
 volume,
 wall,
 washer,
 waste,
 waste energy,
 water,
 water damage,
 water usage,
 weather,
 week,
 weight,
 wifi,
 wireless,
 wireless speaker,
 worry,
